Day,Open,Close,Morning Lead,Afternoon Lead,Notes
Monday,6:00 AM,6:00 PM,Marcus,Jordan,
Tuesday,6:00 AM,6:00 PM,Jordan,Alex,
Wednesday,6:00 AM,6:00 PM,Marcus,Sam,
Thursday,6:00 AM,6:00 PM,Jordan,Marcus,
Friday,6:00 AM,7:00 PM,Marcus,Jordan,Extended hours
Saturday,7:00 AM,6:00 PM,Jordan,Jamie,Weekend crew
Sunday,7:00 AM,5:00 PM,Marcus,Jamie,Early close
,,,,,
Week of Jan 13-19 2026,,,,,
Monday,6:00 AM,6:00 PM,Marcus,Jordan,
Tuesday,6:00 AM,6:00 PM,Alex,Sam,Jordan PTO
Wednesday,6:00 AM,6:00 PM,Marcus,Sam,Jordan PTO
